"30";"dmitry muratov saw norwegian number flash phone as";"0.00034";"0.00034";"0.10372";"0.00379";"0.00724";"0.54480";"0.00034";"0.33115";"0.00034";"0.00034";"0.00034";"0.00724"
"31";"new show western unity russia china lined uk forei";"0.90468";"0.08836";"0.00023";"0.00023";"0.00023";"0.00255";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00255"
"32";"russia ha named local partner bellingcat investiga";"0.00889";"0.00042";"0.16554";"0.00042";"0.00042";"0.06816";"0.00042";"0.75402";"0.00042";"0.00042";"0.00042";"0.00042"
"33";"russian study report problem faced country militar";"0.08798";"0.01632";"0.37858";"0.00438";"0.00040";"0.04817";"0.01234";"0.45024";"0.00040";"0.00040";"0.00040";"0.00040"
"34";"regional power see influence increase dramatically";"0.42993";"0.00171";"0.00016";"0.02040";"0.00016";"0.03908";"0.00016";"0.50779";"0.00016";"0.00016";"0.00016";"0.00016"
"35";"attorney represented hillary clinton presidential ";"0.00041";"0.00041";"0.20685";"0.00041";"0.00041";"0.04996";"0.00041";"0.00041";"0.00041";"0.73947";"0.00041";"0.00041"
"36";"taliban captured russian made helicopter various s";"0.00029";"0.00029";"0.00029";"0.00029";"0.00029";"0.00029";"0.15006";"0.80674";"0.00029";"0.04061";"0.00029";"0.00029"
"37";"cybercriminals russia neighbouring state behind ma";"0.30263";"0.00028";"0.64418";"0.00028";"0.00028";"0.01708";"0.02268";"0.00028";"0.01148";"0.00028";"0.00028";"0.00028"
"38";"russia highly rated squad gold last week nation on";"0.04656";"0.00024";"0.00024";"0.00024";"0.00756";"0.46343";"0.01487";"0.00024";"0.00024";"0.00024";"0.46587";"0.00024"
"39";"aircraft carrying skydiver ha crashed central russ";"0.00572";"0.00052";"0.00052";"0.07856";"0.02653";"0.03694";"0.04214";"0.79136";"0.01093";"0.00572";"0.00052";"0.00052"
"40";"first vladimir putin came visit second day row art";"0.06283";"0.00016";"0.00016";"0.24303";"0.00016";"0.29317";"0.00016";"0.00016";"0.00016";"0.00329";"0.00016";"0.39658"
"41";"first vladimir putin came visit second day row art";"0.08477";"0.00016";"0.00016";"0.26183";"0.00016";"0.26183";"0.00016";"0.00016";"0.00016";"0.00016";"0.00016";"0.39032"
"42";"vladimir putin belarusian leader alexander lukashe";"0.56898";"0.00028";"0.00028";"0.00028";"0.00028";"0.00028";"0.08474";"0.34375";"0.00028";"0.00028";"0.00028";"0.00028"
"43";"senior bbc journalist expelled russia ha condemned";"0.00037";"0.11425";"0.00037";"0.20977";"0.00037";"0.00037";"0.00037";"0.67267";"0.00037";"0.00037";"0.00037";"0.00037"
"44";"russia expel senior bbc journalist moscow refusing";"0.00025";"0.00025";"0.27665";"0.01259";"0.00025";"0.04714";"0.00025";"0.65918";"0.00025";"0.00271";"0.00025";"0.00025"
"45";"security guard british embassy berlin ha arrested ";"0.00026";"0.00026";"0.23799";"0.00537";"0.00026";"0.19197";"0.06927";"0.49105";"0.00026";"0.00281";"0.00026";"0.00026"
